genre,language,kmeans_mlp,kmeans_beta,kmeans_cvae,kmeans_pca
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,11
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,11
blues,English,13,0,8,13
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,13
blues,English,13,0,8,13
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,13
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,13
blues,English,13,0,8,0
blues,English,13,0,8,13
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,0
blues,English,13,0,8,11
blues,English,13,0,8,11
blues,English,13,0,2,11
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,0
blues,English,13,0,8,11
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,0
blues,English,13,0,8,0
blues,English,13,0,8,11
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,0
blues,English,13,0,8,13
blues,English,13,0,8,13
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,7
blues,English,13,0,8,7
blues,English,13,0,8,0
blues,English,13,0,8,11
blues,English,13,0,8,0
blues,English,13,0,8,7
blues,English,13,0,8,13
blues,English,13,0,8,11
blues,English,13,0,8,11
blues,English,13,0,8,0
blues,English,13,0,8,11
